




Analysis Type:	PANTHER Overrepresentation Test (Released 20200407)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3873405 Released 2020-06-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (36)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
response to extracellular stimulus (GO:0009991)	524	6	.90	+	6.63	2.64E-04	4.22E-02
response to organonitrogen compound (GO:0010243)	1011	11	1.75	+	6.30	7.09E-07	3.54E-04
response to nitrogen compound (GO:1901698)	1096	11	1.89	+	5.81	1.56E-06	6.90E-04
response to stress (GO:0006950)	3654	36	6.31	+	5.71	6.86E-28	9.12E-25
negative regulation of cell death (GO:0060548)	1016	9	1.75	+	5.13	4.52E-05	1.05E-02
negative regulation of apoptotic process (GO:0043066)	906	8	1.56	+	5.11	1.32E-04	2.64E-02
cellular macromolecule catabolic process (GO:0044265)	917	8	1.58	+	5.05	1.44E-04	2.80E-02
negative regulation of programmed cell death (GO:0043069)	923	8	1.59	+	5.02	1.50E-04	2.86E-02
negative regulation of signal transduction (GO:0009968)	1290	11	2.23	+	4.94	7.41E-06	2.32E-03
organonitrogen compound catabolic process (GO:1901565)	1073	9	1.85	+	4.86	6.88E-05	1.46E-02
response to chemical (GO:0042221)	4423	36	7.64	+	4.71	6.44E-25	7.90E-22
negative regulation of cell communication (GO:0010648)	1429	11	2.47	+	4.46	1.94E-05	5.52E-03
negative regulation of signaling (GO:0023057)	1432	11	2.47	+	4.45	1.97E-05	5.53E-03
cellular response to endogenous stimulus (GO:0071495)	1187	9	2.05	+	4.39	1.48E-04	2.85E-02
signal transduction (GO:0007165)	4950	36	8.55	+	4.21	3.64E-23	4.16E-20
intracellular transport (GO:0046907)	1540	11	2.66	+	4.14	3.86E-05	9.07E-03
establishment of protein localization (GO:0045184)	1606	11	2.77	+	3.97	5.67E-05	1.26E-02
signaling (GO:0023052)	5322	36	9.19	+	3.92	4.90E-22	5.22E-19
cell communication (GO:0007154)	5413	36	9.35	+	3.85	9.01E-22	8.99E-19
cellular catabolic process (GO:0044248)	1806	12	3.12	+	3.85	3.14E-05	7.61E-03
protein transport (GO:0015031)	1521	10	2.63	+	3.81	1.89E-04	3.43E-02
regulation of cell death (GO:0010941)	1707	11	2.95	+	3.73	9.83E-05	2.07E-02
peptide transport (GO:0015833)	1553	10	2.68	+	3.73	2.24E-04	3.84E-02
regulation of apoptotic process (GO:0042981)	1557	10	2.69	+	3.72	2.29E-04	3.88E-02
regulation of programmed cell death (GO:0043067)	1579	10	2.73	+	3.67	2.56E-04	4.22E-02
amide transport (GO:0042886)	1588	10	2.74	+	3.65	2.68E-04	4.24E-02
organic substance catabolic process (GO:1901575)	1774	11	3.06	+	3.59	1.39E-04	2.73E-02
negative regulation of response to stimulus (GO:0048585)	1837	11	3.17	+	3.47	1.89E-04	3.47E-02
catabolic process (GO:0009056)	2082	12	3.59	+	3.34	1.26E-04	2.57E-02
establishment of localization in cell (GO:0051649)	2374	13	4.10	+	3.17	9.96E-05	2.06E-02
protein localization (GO:0008104)	2203	12	3.80	+	3.15	2.15E-04	3.77E-02
cellular response to stimulus (GO:0051716)	6610	36	11.41	+	3.15	1.17E-18	1.10E-15
cellular protein modification process (GO:0006464)	3176	16	5.48	+	2.92	2.90E-05	7.24E-03
protein modification process (GO:0036211)	3176	16	5.48	+	2.92	2.90E-05	7.13E-03
cellular protein metabolic process (GO:0044267)	3807	19	6.57	+	2.89	3.27E-06	1.24E-03
macromolecule modification (GO:0043412)	3398	16	5.87	+	2.73	6.77E-05	1.46E-02
protein metabolic process (GO:0019538)	4396	19	7.59	+	2.50	2.87E-05	7.52E-03
response to stimulus (GO:0050896)	8523	36	14.72	+	2.45	1.08E-14	9.06E-12
cellular macromolecule metabolic process (GO:0044260)	5183	21	8.95	+	2.35	2.02E-05	5.55E-03
organonitrogen compound metabolic process (GO:1901564)	5421	21	9.36	+	2.24	6.07E-05	1.33E-02
regulation of cellular process (GO:0050794)	11160	36	19.27	+	1.87	2.14E-10	1.49E-07
organic substance metabolic process (GO:0071704)	8021	25	13.85	+	1.81	2.15E-04	3.74E-02
regulation of biological process (GO:0050789)	11714	36	20.22	+	1.78	1.11E-09	6.59E-07
biological regulation (GO:0065007)	12390	36	21.39	+	1.68	9.59E-09	5.47E-06
cellular process (GO:0009987)	15430	36	26.64	+	1.35	2.89E-05	7.32E-03
